"","Outside","Employer","Employee","Self employed","Unpaid family worker","Category","Index"
"1",0.303712323984639,0.206153846153846,0.355709822978133,0.376281655342804,0.363819095477387,"Etnik_Melayu","Gini"
"2",0.231995007281049,0.116666666666667,0.16434299814929,0.251282051282051,0.248818897637795,"Etnik_Cina","Gini"
"3",0.424378809188936,0.244444444444444,0.390190735694823,0.478787878787879,0.4,"Etnik_India","Gini"
"4",NA,NA,NA,NA,NA,"Etnik_Lain","Gini"
"5",0.159193357058126,0.100223713646532,0.152610441767068,0.350721247563353,0.2432,"Jantina/male","Gini"
"6",0.183796631187352,0.116363636363636,0.111569731081926,0.34361593462717,0.439024390243902,"Jantina/Female","Gini"
"7",0.311352329262777,0.666666666666667,0.387521663778163,0.58358458961474,0.666666666666667,"Pendidikan/TPR","Gini"
"8",0.219336478693926,0.3,0.228964401294498,0.373725934314836,0.412753623188406,"Pendidikan/Rendah","Gini"
"9",0.150786148355358,0.139759036144578,0.125130890052356,0.244688644688645,0.192405063291139,"Pendidikan/Menengah","Gini"
"10",0.108155885897951,0.060377358490566,0.156415478615071,0.242696629213483,0.147368421052632,"Pendidikan/Tertiari","Gini"
"11",0.174832922968695,0.0929577464788733,0.121515815847166,0.266430678466077,0.206844106463878,"Strata/Urban","Gini"
"12",0.269716775599128,0.168421052631579,0.346191739295188,0.478961600865333,0.545871559633027,"Strata/Rural","Gini"
