@id,designation,name,shop,lon,lat,name:en,source,phone,brand,name:zh,operator,service,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,service:vehicle:glass,service:vehicle:mirrors,service:vehicle:window_tinting,service:vehicle:windshields,website,service:vehicle:car_repair,service:vehicle:wipers,note,repair,former:name,parts,sale,motorcycle:sales,motorcycle:repair,brand:wikidata,brand:wikipedia
node/4571702113,,Syaharudin Motor Workshop,car_repair,100.4292248,5.5022505,,,60194752066,,,,,,,,,,,,,,,,,,,,,,,,,
node/4577894686,,,car_repair,100.4301154,5.4989476,,,6045754472,Perodua,,,,,,,,,,,,,,,,,,,,,,,,
node/4620838746,,Parda Motor,motorcycle,100.4296311,5.3679611,,https://www.mapillary.com/app/?pKey=sd1L5E6W6WEvKGf273L2vA&focus=photo,6045372254,Suzuki;Yamaha,八达摩哆,,,,,,,,,,,,,,,,,,,,yes,yes,,
node/6383112538,,JM Auto Gallery Sdn. Bhd.,car_repair,100.3788486,5.412678,,,6042913111,,,,,,,,,,,,,,,,,,,,,,,,,
node/9025899874,,Windscreen2U George Town | Windscreen Specialist | Pakar Cermin Kereta,car_repair,100.2887711,5.4044178,,,1700811022,,,,,George Town,18D,11500,Jalan Ayer Itam,Mo-Sa 09:00-18:00,yes,yes,yes,yes,https://www.windscreen2u.com/cerminkereta,,,,,,,,,,,
node/9025959939,,Windscreen2U Bukit Mertajam,car_repair,100.4733898,5.3504184,,,1700811022,,,,,Bukit Mertajam,2834,14000,Jalan Kampung Baru,Mo-Sa 09:00-18:00,yes,yes,yes,yes,https://www.windscreen2u.com/cerminkereta,,,,,,,,,,,
node/9025964800,,Windscreen2U Butterworth | Windscreen Specialist | Pakar Cermin Kereta,car_repair,100.3814977,5.4213903,,,1700811022,,,,,Butterworth,184,12300,Jalan Raja Uda,Mo-Sa 09:00-18:00,yes,yes,yes,yes,https://www.windscreen2u.com/cerminkereta,yes,yes,,,,,,,,,
node/6377522686,,WP Garage,car_repair,100.4517114,5.5168461,WP Motorbike Workshop,,0174730636,,,Wan,,,,,,,,,,,,,,,,,,,,,,
node/9025945356,,Mobile Windscreen Sdn. Bhd. (Jelutong),car_repair,100.3112142,5.3913914,,,0166326282,,,,,George Town,87,11600,Jalan Tan Sri Teh Ewe Lim,Mo-Sa 09:00-18:00,yes,,yes,yes,,,,,,,,,,,,
node/1691647718,Mechanic,Hup Hin Tyre & Repair,car_repair,100.3128335,5.4294328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3918264481,,Perodua Zam Astina Sdn Bhd,car_repair,100.3864015,5.393239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4424532891,,Good year tyre shop,car_repair,100.4978506,5.2087912,Good year tyre shop,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4571594000,,K Smart Car Service & Air-Cond Service,car_repair,100.4299993,5.5188357,,https://www.mapillary.com/map/im/wcybracXFX6wZN6rrxCBBm,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4571594035,,Pusat Servis Kereta Euan Auto,car_repair,100.4348696,5.5477914,Euan Auto Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4571702221,,Pusat Servis Kereta Bak Weng,car_repair,100.4297726,5.5119363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4573652478,,Pusat Servis Kereta MFA Workshop,car_repair,100.4565592,5.4684137,,https://openstreetcam.org/details/2193194/1314/track-info,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4573654550,,Zool Cool Enterprise,car_repair,100.4690771,5.4290444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4577894621,,Jia Xing Enterprise,car_repair,100.4301131,5.5079806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4577894722,,,car_repair,100.4575352,5.4741037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4579929616,,Gian Lung Car Service Centre,car_repair,100.4304865,5.5205155,,https://www.mapillary.com/map/im/I03PKGrUexlZ5juZY37n4S,,,健隆汽车维修中心,,,,,,,,,,,,,,,,,,,,,,,
node/4618661382,,Mutiara Performance Vehicle Proservice,car_repair,100.4316243,5.3682355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4618661750,,Kiang Leng Workshop,car_repair,100.4182372,5.3863906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4678764493,,Hooi Car workshop,car_repair,100.2771506,5.3314725,Hooi Car workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4806910511,,Prisma Speed Auto Services,car_repair,100.4346358,5.5357692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4832300626,,,car_repair,100.3045529,5.338933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4952807048,,Chia Motor Service,car_repair,100.4792815,5.3296507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5587269022,,Toyota service,car_repair,100.3925565,5.3659458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/6205841781,,SGL Tyre & Car Service,car_repair,100.3876934,5.4349591,SGL Tyre & Car Service,,,,新源利轮胎电池服务有限公司,SGL Tyre & Car Service Sdn. Bhd.,,,,,,,,,,,,,,,,,,,,,,
node/6490039593,,SGL Tyre & Car Service,car_repair,100.3967071,5.4337829,,,,,新源利轮胎电池服务有限公司,,repair;tyres,,,,,,,,,,,,,,,,,,,,,
node/6539205486,,Long Seng Tyre Car Care Service Centre,car_repair,100.3834976,5.4286622,,,,,隆成汽车轮胎中心,,repair;tyres,,,,,,,,,,,,,,,,,,,,,
