country,cases,deaths,region
New Zealand,"2,600",26,Australia/Oceania
Monaco,"2,423",31,Europe
Turks and Caicos,"2,371",17,North America
Sao Tome & Principe,"2,292",35,Africa
Bermuda,"2,261",22,North America
Sint Maarten,"2,212",27,North America
Liberia,"2,091",85,Africa
St. Vincent & Grenadines,"1,827",10,North America
Saint Martin,"1,720",12,North America
Timor-Leste,"1,657",3,Asia
Isle of Man,"1,584",29,Europe
Caribbean Netherlands,"1,553",15,North America
Antigua and Barbuda,"1,217",31,North America
Mauritius,"1,205",16,Africa
Taiwan,"1,086",11,Asia
Bhutan,992,1,Asia
Saint Barthelemy,958,1,North America
Faeroe Islands,663,1,Europe
Cayman Islands,531,2,North America
Tanzania,509,21,Africa
Wallis & Futuna,440,5,Australia/Oceania
Brunei,223,3,Asia
British Virgin Islands,194,1,North America
Dominica,172,0,North America
Grenada,159,1,North America
New Caledonia,124,0,Australia/Oceania
Laos,94,0,Asia
Fiji,86,2,Australia/Oceania
Falkland Islands,63,0,South America
Macao,49,0,Asia
Saint Kitts & Nevis,44,0,North America
Greenland,31,0,North America
Anguilla,29,0,North America
Holy See,27,0,Europe
Saint Pierre & Miquelon,25,0,North America
Montserrat,20,1,North America
Solomon Islands,20,0,Australia/Oceania
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Vanuatu,4,1,Australia/Oceania
Marshall Islands,4,0,Australia/Oceania
Samoa,3,0,Australia/Oceania
Micronesia,1,0,Australia/Oceania
